 	d	pon	mean_ratio_NN	mean_ratio	mean_weighted_ratio	mean abs ratio	mean weighted abs ratio	variance of mean_weighted_ratio	SD mean_weighted_ratio	rSD mean_weighted_ratio	variance of weighted abs ratio	SD of weighted abs ratio	rSD of weighted abs ratio	SE of weighted abs ratio
1	1.663E3	3.000E0	-7.451E-1	0.000E0	0.000E0	0.000E0	0.000E0	0.000E0	0.000E0	NaN	0.000E0	0.000E0	NaN	0.000E0
2	1.247E3	1.734E3	-7.487E-1	-9.501E-3	-8.285E-3	3.532E-2	3.492E-2	1.717E-3	4.144E-2	-5.002E0	5.669E-4	2.381E-2	6.820E-1	5.671E-4
3	9.350E2	5.303E3	-7.553E-1	-2.519E-2	-2.339E-2	4.008E-2	3.907E-2	2.347E-3	4.844E-2	-2.071E0	1.367E-3	3.697E-2	9.462E-1	4.952E-4
4	7.010E2	9.257E3	-7.544E-1	-2.454E-2	-2.227E-2	5.522E-2	5.411E-2	4.246E-3	6.516E-2	-2.925E0	1.815E-3	4.260E-2	7.874E-1	4.362E-4
5	5.260E2	1.293E4	-7.498E-1	-1.896E-2	-1.306E-2	8.854E-2	8.692E-2	1.089E-2	1.043E-1	-7.991E0	3.502E-3	5.918E-2	6.808E-1	5.159E-4
6	3.950E2	1.608E4	-7.452E-1	-2.233E-2	-7.091E-3	1.410E-1	1.354E-1	2.908E-2	1.705E-1	-2.405E1	1.080E-2	1.039E-1	7.675E-1	7.857E-4
7	2.960E2	1.869E4	-7.427E-1	-4.415E-2	-2.986E-3	2.158E-1	2.025E-1	6.388E-2	2.528E-1	-8.466E1	2.287E-2	1.512E-1	7.468E-1	1.049E-3
8	2.220E2	2.077E4	-7.454E-1	-1.112E-1	-3.152E-3	3.235E-1	2.777E-1	1.245E-1	3.528E-1	-1.119E2	4.735E-2	2.176E-1	7.836E-1	1.404E-3
9	1.670E2	2.238E4	-7.320E-1	-1.837E-1	9.557E-4	4.375E-1	3.695E-1	2.164E-1	4.651E-1	4.867E2	7.986E-2	2.826E-1	7.649E-1	1.791E-3
10	1.250E2	2.366E4	-7.163E-1	-2.755E-1	1.664E-3	5.725E-1	5.085E-1	3.441E-1	5.866E-1	3.525E2	8.554E-2	2.925E-1	5.751E-1	1.842E-3
11	9.400E1	2.462E4	-6.992E-1	-3.558E-1	1.791E-3	6.533E-1	6.193E-1	4.697E-1	6.854E-1	3.826E2	8.619E-2	2.936E-1	4.741E-1	1.910E-3
12	7.100E1	2.535E4	-6.797E-1	-4.208E-1	3.815E-3	7.055E-1	7.140E-1	5.910E-1	7.688E-1	2.015E2	8.120E-2	2.850E-1	3.991E-1	1.981E-3
13	5.300E1	2.592E4	-6.621E-1	-4.739E-1	3.920E-3	7.376E-1	7.905E-1	6.965E-1	8.346E-1	2.129E2	7.169E-2	2.677E-1	3.387E-1	1.980E-3
14	4.000E1	2.634E4	-6.489E-1	-5.062E-1	-1.304E-3	7.528E-1	8.393E-1	7.655E-1	8.749E-1	-6.711E2	6.110E-2	2.472E-1	2.945E-1	1.887E-3
15	3.000E1	2.667E4	-6.407E-1	-5.372E-1	-6.382E-3	7.687E-1	8.827E-1	8.268E-1	9.093E-1	-1.425E2	4.764E-2	2.183E-1	2.473E-1	1.698E-3
16	2.300E1	2.690E4	-6.271E-1	-5.491E-1	-3.396E-3	7.717E-1	9.114E-1	8.684E-1	9.319E-1	-2.744E2	3.772E-2	1.942E-1	2.131E-1	1.525E-3
17	1.700E1	2.710E4	-6.119E-1	-5.559E-1	1.315E-2	7.757E-1	9.373E-1	9.057E-1	9.517E-1	7.237E1	2.745E-2	1.657E-1	1.768E-1	1.307E-3
18	1.300E1	2.723E4	-6.168E-1	-5.755E-1	-1.039E-2	7.814E-1	9.529E-1	9.290E-1	9.638E-1	-9.272E1	2.095E-2	1.448E-1	1.519E-1	1.151E-3
19	1.000E1	2.733E4	-6.085E-1	-5.777E-1	-1.709E-3	7.818E-1	9.646E-1	9.472E-1	9.733E-1	-5.694E2	1.676E-2	1.295E-1	1.342E-1	1.025E-3
20	8.000E0	2.739E4	-6.033E-1	-5.790E-1	1.019E-2	7.853E-1	9.729E-1	9.588E-1	9.792E-1	9.611E1	1.236E-2	1.112E-1	1.143E-1	8.779E-4
21	6.000E0	2.746E4	-6.025E-1	-5.837E-1	-2.106E-3	7.816E-1	9.781E-1	9.675E-1	9.836E-1	-4.671E2	1.082E-2	1.040E-1	1.064E-1	8.230E-4
