 	d	pon	mean_ratio_NN	mean_ratio	mean_weighted_ratio	mean abs ratio	mean weighted abs ratio	variance of mean_weighted_ratio	SD mean_weighted_ratio	rSD mean_weighted_ratio	variance of weighted abs ratio	SD of weighted abs ratio	rSD of weighted abs ratio	SE of weighted abs ratio
1	1.663E3	3.000E0	-7.074E-1	-1.110E-16	-1.110E-16	1.110E-16	1.110E-16	0.000E0	0.000E0	-0.000E0	0.000E0	0.000E0	0.000E0	0.000E0
2	1.247E3	1.734E3	-6.731E-1	6.449E-2	6.571E-2	6.545E-2	6.659E-2	1.248E-3	3.532E-2	5.375E-1	1.131E-3	3.363E-2	5.051E-1	7.999E-4
3	9.350E2	5.303E3	-6.686E-1	7.122E-2	7.432E-2	8.210E-2	8.387E-2	3.084E-3	5.553E-2	7.472E-1	1.573E-3	3.967E-2	4.730E-1	5.425E-4
4	7.010E2	9.257E3	-6.704E-1	6.499E-2	7.150E-2	8.889E-2	9.167E-2	7.092E-3	8.422E-2	1.178E0	3.801E-3	6.165E-2	6.725E-1	6.561E-4
5	5.260E2	1.293E4	-6.697E-1	6.274E-2	7.338E-2	9.862E-2	1.035E-1	1.169E-2	1.081E-1	1.473E0	6.359E-3	7.974E-2	7.702E-1	7.368E-4
6	3.950E2	1.608E4	-6.746E-1	4.705E-2	6.710E-2	1.198E-1	1.254E-1	2.058E-2	1.434E-1	2.138E0	9.355E-3	9.672E-2	7.713E-1	8.097E-4
7	2.960E2	1.869E4	-6.855E-1	4.753E-3	5.532E-2	1.818E-1	1.733E-1	4.485E-2	2.118E-1	3.829E0	1.787E-2	1.337E-1	7.713E-1	9.720E-4
8	2.220E2	2.077E4	-6.950E-1	-6.505E-2	4.760E-2	2.890E-1	2.429E-1	9.479E-2	3.079E-1	6.468E0	3.805E-2	1.951E-1	8.029E-1	1.264E-3
9	1.670E2	2.238E4	-6.878E-1	-1.306E-1	3.974E-2	3.812E-1	3.187E-1	1.679E-1	4.098E-1	1.031E1	6.796E-2	2.607E-1	8.180E-1	1.636E-3
10	1.250E2	2.366E4	-6.760E-1	-2.060E-1	2.466E-2	4.953E-1	4.331E-1	2.659E-1	5.156E-1	2.091E1	7.888E-2	2.809E-1	6.485E-1	1.738E-3
11	9.400E1	2.462E4	-6.594E-1	-2.881E-1	1.810E-2	5.921E-1	5.578E-1	3.984E-1	6.312E-1	3.487E1	8.766E-2	2.961E-1	5.308E-1	1.888E-3
12	7.100E1	2.535E4	-6.407E-1	-3.504E-1	1.879E-2	6.526E-1	6.578E-1	5.221E-1	7.226E-1	3.846E1	8.971E-2	2.995E-1	4.553E-1	2.031E-3
13	5.300E1	2.592E4	-6.255E-1	-4.140E-1	7.077E-3	6.994E-1	7.474E-1	6.406E-1	8.004E-1	1.131E2	8.211E-2	2.865E-1	3.834E-1	2.072E-3
14	4.000E1	2.634E4	-6.092E-1	-4.545E-1	1.374E-4	7.240E-1	8.125E-1	7.313E-1	8.552E-1	6.222E3	7.111E-2	2.667E-1	3.282E-1	1.991E-3
15	3.000E1	2.667E4	-5.976E-1	-4.812E-1	6.871E-3	7.491E-1	8.613E-1	7.980E-1	8.933E-1	1.300E2	5.618E-2	2.370E-1	2.752E-1	1.790E-3
16	2.300E1	2.690E4	-5.902E-1	-5.031E-1	4.986E-3	7.623E-1	8.959E-1	8.477E-1	9.207E-1	1.847E2	4.512E-2	2.124E-1	2.371E-1	1.611E-3
17	1.700E1	2.710E4	-5.832E-1	-5.204E-1	-2.912E-3	7.696E-1	9.244E-1	8.888E-1	9.427E-1	-3.237E2	3.426E-2	1.851E-1	2.002E-1	1.421E-3
18	1.300E1	2.723E4	-5.739E-1	-5.275E-1	3.723E-3	7.736E-1	9.440E-1	9.178E-1	9.580E-1	2.573E2	2.662E-2	1.632E-1	1.728E-1	1.246E-3
19	1.000E1	2.733E4	-5.751E-1	-5.400E-1	-7.965E-3	7.779E-1	9.574E-1	9.370E-1	9.680E-1	-1.215E2	2.040E-2	1.428E-1	1.492E-1	1.100E-3
20	8.000E0	2.739E4	-5.721E-1	-5.436E-1	-8.829E-3	7.795E-1	9.655E-1	9.486E-1	9.740E-1	-1.103E2	1.644E-2	1.282E-1	1.328E-1	9.954E-4
21	6.000E0	2.746E4	-5.634E-1	-5.423E-1	1.956E-3	7.796E-1	9.747E-1	9.622E-1	9.809E-1	5.014E2	1.221E-2	1.105E-1	1.134E-1	8.567E-4
