 	d	pon	mean_ratio_NN	mean_ratio	mean_weighted_ratio	mean abs ratio	mean weighted abs ratio	variance of mean_weighted_ratio	SD mean_weighted_ratio	rSD mean_weighted_ratio	variance of weighted abs ratio	SD of weighted abs ratio	rSD of weighted abs ratio	SE of weighted abs ratio
1	1.663E3	3.000E0	-7.067E-1	-1.110E-16	-1.110E-16	1.110E-16	1.110E-16	0.000E0	0.000E0	-0.000E0	0.000E0	0.000E0	0.000E0	0.000E0
2	1.247E3	1.734E3	-8.040E-1	-3.312E-1	-2.257E-1	4.194E-1	3.400E-1	1.718E-1	4.145E-1	-1.837E0	1.072E-1	3.274E-1	9.630E-1	7.193E-3
3	9.350E2	5.303E3	-8.483E-1	-5.484E-1	-3.594E-1	6.841E-1	5.777E-1	3.428E-1	5.855E-1	-1.629E0	1.383E-1	3.719E-1	6.438E-1	5.170E-3
4	7.010E2	9.257E3	-8.465E-1	-6.099E-1	-3.599E-1	7.881E-1	6.911E-1	4.583E-1	6.770E-1	-1.881E0	1.103E-1	3.321E-1	4.806E-1	3.641E-3
5	5.260E2	1.293E4	-8.252E-1	-6.246E-1	-3.060E-1	8.464E-1	7.642E-1	5.728E-1	7.568E-1	-2.474E0	8.243E-2	2.871E-1	3.757E-1	2.720E-3
6	3.950E2	1.608E4	-7.872E-1	-6.215E-1	-2.201E-1	8.872E-1	8.248E-1	6.937E-1	8.329E-1	-3.784E0	6.180E-2	2.486E-1	3.014E-1	2.170E-3
7	2.960E2	1.869E4	-7.385E-1	-6.248E-1	-1.360E-1	9.244E-1	8.863E-1	8.123E-1	9.013E-1	-6.625E0	4.528E-2	2.128E-1	2.401E-1	1.800E-3
8	2.220E2	2.077E4	-6.856E-1	-6.019E-1	-6.021E-2	9.401E-1	9.190E-1	8.763E-1	9.361E-1	-1.555E1	3.536E-2	1.881E-1	2.046E-1	1.526E-3
9	1.670E2	2.238E4	-6.598E-1	-6.012E-1	-3.549E-2	9.372E-1	9.443E-1	9.160E-1	9.571E-1	-2.697E1	2.548E-2	1.596E-1	1.691E-1	1.264E-3
10	1.250E2	2.366E4	-6.518E-1	-6.121E-1	-3.406E-2	9.260E-1	9.605E-1	9.397E-1	9.694E-1	-2.846E1	1.831E-2	1.353E-1	1.409E-1	1.063E-3
11	9.400E1	2.462E4	-6.264E-1	-5.983E-1	-1.239E-2	8.974E-1	9.713E-1	9.570E-1	9.783E-1	-7.896E1	1.368E-2	1.170E-1	1.204E-1	9.118E-4
12	7.100E1	2.535E4	-6.160E-1	-5.955E-1	-5.502E-3	8.840E-1	9.794E-1	9.691E-1	9.844E-1	-1.789E2	9.973E-3	9.986E-2	1.020E-1	7.591E-4
13	5.300E1	2.592E4	-5.962E-1	-5.821E-1	8.677E-3	8.640E-1	9.859E-1	9.788E-1	9.894E-1	1.140E2	6.927E-3	8.323E-2	8.442E-2	6.259E-4
14	4.000E1	2.634E4	-5.877E-1	-5.784E-1	-5.414E-3	8.413E-1	9.906E-1	9.857E-1	9.928E-1	-1.834E2	4.557E-3	6.751E-2	6.815E-2	5.051E-4
15	3.000E1	2.667E4	-5.835E-1	-5.770E-1	-1.599E-2	8.299E-1	9.935E-1	9.900E-1	9.950E-1	-6.223E1	3.173E-3	5.633E-2	5.670E-2	4.177E-4
16	2.300E1	2.690E4	-5.664E-1	-5.611E-1	1.178E-2	8.174E-1	9.949E-1	9.922E-1	9.961E-1	8.459E1	2.584E-3	5.084E-2	5.110E-2	3.635E-4
17	1.700E1	2.710E4	-5.649E-1	-5.611E-1	5.291E-3	8.103E-1	9.965E-1	9.949E-1	9.974E-1	1.885E2	1.970E-3	4.438E-2	4.454E-2	2.991E-4
18	1.300E1	2.723E4	-5.681E-1	-5.657E-1	1.890E-3	8.115E-1	9.981E-1	9.970E-1	9.985E-1	5.282E2	8.381E-4	2.895E-2	2.900E-2	1.965E-4
19	1.000E1	2.733E4	-5.723E-1	-5.709E-1	-1.903E-2	8.050E-1	9.990E-1	9.981E-1	9.991E-1	-5.249E1	5.349E-4	2.313E-2	2.315E-2	1.434E-4
20	8.000E0	2.739E4	-5.587E-1	-5.578E-1	2.868E-3	7.975E-1	9.995E-1	9.992E-1	9.996E-1	3.486E2	1.798E-4	1.341E-2	1.341E-2	8.322E-5
21	6.000E0	2.746E4	-5.694E-1	-5.690E-1	-2.471E-2	7.971E-1	9.999E-1	9.992E-1	9.996E-1	-4.046E1	4.233E-5	6.506E-3	6.507E-3	3.552E-5
