 	d	pon	mean_ratio_NN	mean_ratio	mean_weighted_ratio	mean abs ratio	mean weighted abs ratio	variance of mean_weighted_ratio	SD mean_weighted_ratio	rSD mean_weighted_ratio	variance of weighted abs ratio	SD of weighted abs ratio	rSD of weighted abs ratio	SE of weighted abs ratio
1	1.663E3	3.000E0	-7.070E-1	-1.110E-16	-1.110E-16	1.110E-16	1.110E-16	0.000E0	0.000E0	-0.000E0	0.000E0	0.000E0	0.000E0	0.000E0
2	1.247E3	1.734E3	-6.567E-1	8.702E-2	9.421E-2	1.070E-1	1.116E-1	8.963E-3	9.467E-2	1.005E0	5.393E-3	7.344E-2	6.583E-1	1.777E-3
3	9.350E2	5.303E3	-6.496E-1	7.599E-2	1.073E-1	1.812E-1	1.901E-1	3.893E-2	1.973E-1	1.839E0	1.430E-2	1.196E-1	6.291E-1	1.699E-3
4	7.010E2	9.257E3	-6.486E-1	3.861E-2	1.091E-1	2.605E-1	2.716E-1	8.865E-2	2.977E-1	2.730E0	2.678E-2	1.636E-1	6.026E-1	1.767E-3
5	5.260E2	1.293E4	-6.556E-1	-1.306E-2	1.001E-1	3.267E-1	3.276E-1	1.419E-1	3.767E-1	3.764E0	4.455E-2	2.111E-1	6.442E-1	1.845E-3
6	3.950E2	1.608E4	-6.656E-1	-7.824E-2	8.669E-2	4.129E-1	3.947E-1	2.046E-1	4.523E-1	5.217E0	5.632E-2	2.373E-1	6.013E-1	1.813E-3
7	2.960E2	1.869E4	-6.805E-1	-1.650E-1	6.942E-2	5.055E-1	4.611E-1	2.834E-1	5.324E-1	7.668E0	7.561E-2	2.750E-1	5.963E-1	1.946E-3
8	2.220E2	2.077E4	-6.971E-1	-2.619E-1	5.411E-2	6.026E-1	5.341E-1	3.689E-1	6.074E-1	1.122E1	8.659E-2	2.943E-1	5.510E-1	2.041E-3
9	1.670E2	2.238E4	-6.959E-1	-3.326E-1	3.364E-2	6.610E-1	5.972E-1	4.487E-1	6.699E-1	1.992E1	9.324E-2	3.054E-1	5.113E-1	2.118E-3
10	1.250E2	2.366E4	-6.835E-1	-3.811E-1	2.191E-2	6.977E-1	6.572E-1	5.236E-1	7.236E-1	3.302E1	9.210E-2	3.035E-1	4.618E-1	2.133E-3
11	9.400E1	2.462E4	-6.592E-1	-4.112E-1	2.296E-2	7.218E-1	7.174E-1	5.994E-1	7.742E-1	3.372E1	8.522E-2	2.919E-1	4.069E-1	2.073E-3
12	7.100E1	2.535E4	-6.427E-1	-4.406E-1	1.213E-2	7.355E-1	7.658E-1	6.646E-1	8.153E-1	6.719E1	7.839E-2	2.800E-1	3.656E-1	2.034E-3
13	5.300E1	2.592E4	-6.241E-1	-4.595E-1	1.308E-2	7.487E-1	8.099E-1	7.238E-1	8.508E-1	6.504E1	6.801E-2	2.608E-1	3.220E-1	1.917E-3
14	4.000E1	2.634E4	-6.081E-1	-4.767E-1	5.378E-3	7.522E-1	8.457E-1	7.744E-1	8.800E-1	1.636E2	5.917E-2	2.432E-1	2.876E-1	1.825E-3
15	3.000E1	2.667E4	-6.021E-1	-4.987E-1	-9.405E-3	7.583E-1	8.757E-1	8.178E-1	9.043E-1	-9.616E1	5.108E-2	2.260E-1	2.581E-1	1.719E-3
16	2.300E1	2.690E4	-5.850E-1	-5.014E-1	4.941E-3	7.616E-1	9.008E-1	8.536E-1	9.239E-1	1.870E2	4.219E-2	2.054E-1	2.280E-1	1.559E-3
17	1.700E1	2.710E4	-5.811E-1	-5.153E-1	8.765E-4	7.686E-1	9.214E-1	8.835E-1	9.400E-1	1.072E3	3.456E-2	1.859E-1	2.018E-1	1.429E-3
18	1.300E1	2.723E4	-5.699E-1	-5.132E-1	8.833E-3	7.683E-1	9.316E-1	8.987E-1	9.480E-1	1.073E2	3.095E-2	1.759E-1	1.889E-1	1.370E-3
19	1.000E1	2.733E4	-5.707E-1	-5.278E-1	-5.198E-3	7.715E-1	9.471E-1	9.216E-1	9.600E-1	-1.847E2	2.457E-2	1.568E-1	1.655E-1	1.234E-3
20	8.000E0	2.739E4	-5.588E-1	-5.228E-1	1.464E-2	7.737E-1	9.559E-1	9.341E-1	9.665E-1	6.603E1	2.061E-2	1.436E-1	1.502E-1	1.144E-3
21	6.000E0	2.746E4	-5.602E-1	-5.328E-1	1.327E-3	7.735E-1	9.652E-1	9.481E-1	9.737E-1	7.339E2	1.654E-2	1.286E-1	1.332E-1	1.046E-3
