 	d	pon	mean_ratio_NN	mean_ratio	mean_weighted_ratio	mean abs ratio	mean weighted abs ratio	variance of mean_weighted_ratio	SD mean_weighted_ratio	rSD mean_weighted_ratio	variance of weighted abs ratio	SD of weighted abs ratio	rSD of weighted abs ratio	SE of weighted abs ratio
1	1.946E3	3.000E0	-9.034E-3	-1.025E-2	8.601E-18	1.223E-2	7.045E-4	1.020E-6	1.010E-3	1.174E14	5.236E-7	7.236E-4	1.027E0	8.961E-5
2	1.460E3	2.390E2	-1.204E-2	-1.325E-2	-2.083E-4	1.503E-2	1.044E-3	2.228E-6	1.493E-3	-7.166E0	1.182E-6	1.087E-3	1.042E0	1.181E-5
3	1.095E3	7.270E2	-9.266E-3	-1.048E-2	-1.581E-4	1.646E-2	1.332E-3	3.605E-6	1.899E-3	-1.201E1	1.857E-6	1.363E-3	1.023E0	9.934E-6
4	8.210E2	1.269E3	-3.916E-4	-1.585E-3	-1.983E-4	2.369E-2	1.747E-3	6.464E-6	2.542E-3	-1.282E1	3.451E-6	1.858E-3	1.063E0	1.071E-5
5	6.160E2	1.772E3	1.744E-3	5.736E-4	-1.787E-4	2.887E-2	2.297E-3	1.161E-5	3.408E-3	-1.907E1	6.365E-6	2.523E-3	1.098E0	1.222E-5
6	4.620E2	2.205E3	3.983E-3	2.855E-3	-2.187E-4	2.793E-2	3.018E-3	2.086E-5	4.568E-3	-2.089E1	1.180E-5	3.435E-3	1.138E0	1.460E-5
7	3.470E2	2.560E3	3.585E-3	2.509E-3	-2.998E-4	2.904E-2	4.027E-3	3.784E-5	6.152E-3	-2.052E1	2.172E-5	4.660E-3	1.157E0	1.857E-5
8	2.600E2	2.846E3	4.176E-3	3.155E-3	-2.285E-4	3.419E-2	5.276E-3	6.518E-5	8.073E-3	-3.533E1	3.739E-5	6.115E-3	1.159E0	2.336E-5
9	1.950E2	3.069E3	5.231E-3	4.276E-3	-2.196E-4	4.145E-2	6.743E-3	1.096E-4	1.047E-2	-4.767E1	6.420E-5	8.013E-3	1.188E0	3.027E-5
10	1.460E2	3.243E3	2.753E-3	1.869E-3	-1.910E-4	4.590E-2	8.644E-3	1.838E-4	1.356E-2	-7.097E1	1.091E-4	1.045E-2	1.208E0	3.970E-5
11	1.100E2	3.374E3	4.074E-3	3.255E-3	-1.018E-4	4.970E-2	1.115E-2	3.034E-4	1.742E-2	-1.710E2	1.792E-4	1.339E-2	1.201E0	5.164E-5
12	8.300E1	3.474E3	1.113E-3	3.575E-4	-8.755E-7	5.208E-2	1.427E-2	4.998E-4	2.236E-2	-2.554E4	2.963E-4	1.721E-2	1.207E0	6.725E-5
13	6.200E1	3.552E3	2.782E-4	-4.192E-4	3.234E-6	5.312E-2	1.868E-2	8.278E-4	2.877E-2	8.896E3	4.787E-4	2.188E-2	1.171E0	8.872E-5
14	4.700E1	3.609E3	1.670E-3	1.020E-3	-3.764E-5	5.517E-2	2.371E-2	1.335E-3	3.654E-2	-9.710E2	7.735E-4	2.781E-2	1.173E0	1.144E-4
15	3.500E1	3.655E3	7.087E-4	1.089E-4	1.931E-4	5.660E-2	3.104E-2	2.225E-3	4.717E-2	2.443E2	1.261E-3	3.552E-2	1.144E0	1.530E-4
16	2.600E1	3.689E3	5.301E-4	-2.795E-5	-3.109E-5	6.001E-2	4.115E-2	3.780E-3	6.148E-2	-1.978E3	2.087E-3	4.568E-2	1.110E0	2.036E-4
17	2.000E1	3.712E3	4.522E-4	-6.428E-5	2.779E-5	6.209E-2	5.282E-2	6.045E-3	7.775E-2	2.798E3	3.255E-3	5.706E-2	1.080E0	2.665E-4
18	1.500E1	3.732E3	1.463E-3	9.791E-4	4.414E-5	6.650E-2	6.824E-2	9.831E-3	9.915E-2	2.246E3	5.174E-3	7.193E-2	1.054E0	3.502E-4
19	1.100E1	3.747E3	3.047E-4	-1.466E-4	-7.276E-4	7.245E-2	9.028E-2	1.674E-2	1.294E-1	-1.778E2	8.591E-3	9.269E-2	1.027E0	4.719E-4
20	8.000E0	3.759E3	-1.485E-4	-5.596E-4	1.054E-5	7.729E-2	1.195E-1	2.850E-2	1.688E-1	1.602E4	1.423E-2	1.193E-1	9.987E-1	6.475E-4
21	6.000E0	3.767E3	1.624E-3	1.245E-3	1.188E-3	8.635E-2	1.539E-1	4.624E-2	2.150E-1	1.809E2	2.255E-2	1.502E-1	9.756E-1	8.577E-4
