 	d	pon	mean_ratio_NN	mean_ratio	mean_weighted_ratio	mean abs ratio	mean weighted abs ratio	variance of mean_weighted_ratio	SD mean_weighted_ratio	rSD mean_weighted_ratio	variance of weighted abs ratio	SD of weighted abs ratio	rSD of weighted abs ratio	SE of weighted abs ratio
1	1.946E3	3.000E0	2.140E-1	2.124E-1	-1.503E-17	3.151E-1	1.405E-1	3.383E-2	1.839E-1	-1.223E16	1.408E-2	1.186E-1	8.442E-1	1.948E-2
2	1.460E3	2.390E2	2.422E-1	2.406E-1	5.594E-3	3.270E-1	1.352E-1	3.493E-2	1.869E-1	3.341E1	1.668E-2	1.292E-1	9.555E-1	1.773E-3
3	1.095E3	7.270E2	2.467E-1	2.452E-1	-7.843E-3	3.416E-1	1.410E-1	3.861E-2	1.965E-1	-2.506E1	1.879E-2	1.371E-1	9.720E-1	1.087E-3
4	8.210E2	1.269E3	2.551E-1	2.537E-1	-6.720E-3	3.569E-1	1.538E-1	4.618E-2	2.149E-1	-3.198E1	2.256E-2	1.502E-1	9.763E-1	9.435E-4
5	6.160E2	1.772E3	2.557E-1	2.543E-1	-1.184E-3	3.727E-1	1.719E-1	5.636E-2	2.374E-1	-2.005E2	2.681E-2	1.637E-1	9.524E-1	9.002E-4
6	4.620E2	2.205E3	2.261E-1	2.247E-1	-5.962E-4	3.739E-1	1.935E-1	6.806E-2	2.609E-1	-4.376E2	3.062E-2	1.750E-1	9.042E-1	9.001E-4
7	3.470E2	2.560E3	2.032E-1	2.019E-1	-1.248E-3	3.812E-1	2.167E-1	8.178E-2	2.860E-1	-2.291E2	3.484E-2	1.867E-1	8.615E-1	9.443E-4
8	2.600E2	2.846E3	1.843E-1	1.831E-1	-1.011E-2	3.911E-1	2.424E-1	9.913E-2	3.148E-1	-3.116E1	4.045E-2	2.011E-1	8.295E-1	1.041E-3
9	1.950E2	3.069E3	1.805E-1	1.794E-1	-3.996E-3	4.010E-1	2.681E-1	1.207E-1	3.474E-1	-8.695E1	4.888E-2	2.211E-1	8.248E-1	1.175E-3
10	1.460E2	3.243E3	1.638E-1	1.628E-1	-9.489E-3	4.020E-1	2.989E-1	1.483E-1	3.851E-1	-4.058E1	5.903E-2	2.430E-1	8.128E-1	1.349E-3
11	1.100E2	3.374E3	1.544E-1	1.536E-1	-5.121E-4	3.950E-1	3.185E-1	1.685E-1	4.105E-1	-8.016E2	6.706E-2	2.590E-1	8.131E-1	1.465E-3
12	8.300E1	3.474E3	1.292E-1	1.285E-1	-1.011E-2	3.883E-1	3.552E-1	2.043E-1	4.520E-1	-4.471E1	7.824E-2	2.797E-1	7.875E-1	1.652E-3
13	6.200E1	3.552E3	1.213E-1	1.207E-1	-2.639E-4	3.785E-1	3.872E-1	2.389E-1	4.888E-1	-1.852E3	8.900E-2	2.983E-1	7.705E-1	1.817E-3
14	4.700E1	3.609E3	9.877E-2	9.819E-2	-5.731E-3	3.650E-1	4.082E-1	2.642E-1	5.140E-1	-8.969E1	9.762E-2	3.124E-1	7.654E-1	1.955E-3
15	3.500E1	3.655E3	8.345E-2	8.294E-2	-6.977E-3	3.554E-1	4.419E-1	3.038E-1	5.512E-1	-7.900E1	1.086E-1	3.295E-1	7.457E-1	2.137E-3
16	2.600E1	3.689E3	7.185E-2	7.140E-2	-2.873E-3	3.457E-1	4.719E-1	3.409E-1	5.839E-1	-2.032E2	1.183E-1	3.439E-1	7.288E-1	2.287E-3
17	2.000E1	3.712E3	5.424E-2	5.384E-2	-1.020E-2	3.328E-1	4.954E-1	3.721E-1	6.100E-1	-5.983E1	1.268E-1	3.561E-1	7.187E-1	2.439E-3
18	1.500E1	3.732E3	5.094E-2	5.058E-2	-1.218E-3	3.214E-1	5.174E-1	4.038E-1	6.355E-1	-5.217E2	1.362E-1	3.690E-1	7.132E-1	2.591E-3
19	1.100E1	3.747E3	2.895E-2	2.863E-2	-2.193E-2	3.078E-1	5.374E-1	4.336E-1	6.585E-1	-3.003E1	1.452E-1	3.811E-1	7.091E-1	2.758E-3
20	8.000E0	3.759E3	2.757E-2	2.728E-2	-6.562E-3	2.980E-1	5.604E-1	4.698E-1	6.854E-1	-1.045E2	1.557E-1	3.946E-1	7.041E-1	2.916E-3
21	6.000E0	3.767E3	2.959E-2	2.933E-2	1.359E-2	2.822E-1	5.657E-1	4.862E-1	6.973E-1	5.130E1	1.663E-1	4.078E-1	7.208E-1	3.068E-3
