 	d	pon	mean_ratio_NN	mean_ratio	mean_weighted_ratio	mean abs ratio	mean weighted abs ratio	variance of mean_weighted_ratio	SD mean_weighted_ratio	rSD mean_weighted_ratio	variance of weighted abs ratio	SD of weighted abs ratio	rSD of weighted abs ratio	SE of weighted abs ratio
1	1.520E3	3.000E0	-9.980E-1	5.042E-2	5.042E-2	5.042E-2	5.042E-2	4.815E-35	6.939E-18	1.376E-16	4.815E-35	6.939E-18	1.376E-16	4.907E-18
2	1.140E3	4.360E2	2.248E-1	2.248E-1	4.478E-1	6.651E-1	1.000E0	7.995E-1	8.941E-1	1.997E0	0.000E0	0.000E0	0.000E0	0.000E0
3	8.550E2	1.330E3	1.474E-1	1.474E-1	5.167E-1	3.519E-1	1.000E0	7.331E-1	8.562E-1	1.657E0	0.000E0	0.000E0	0.000E0	0.000E0
4	6.410E2	2.321E3	9.608E-2	9.608E-2	5.847E-1	2.038E-1	1.000E0	6.582E-1	8.113E-1	1.388E0	0.000E0	0.000E0	0.000E0	0.000E0
5	4.810E2	3.242E3	4.935E-2	4.935E-2	4.672E-1	1.283E-1	1.000E0	7.818E-1	8.842E-1	1.893E0	0.000E0	0.000E0	0.000E0	0.000E0
6	3.610E2	4.033E3	4.166E-2	4.166E-2	4.846E-1	9.422E-2	1.000E0	7.652E-1	8.748E-1	1.805E0	0.000E0	0.000E0	0.000E0	0.000E0
7	2.710E2	4.683E3	3.908E-2	3.908E-2	5.983E-1	6.983E-2	1.000E0	6.421E-1	8.013E-1	1.339E0	0.000E0	0.000E0	0.000E0	0.000E0
8	2.030E2	5.206E3	2.190E-2	2.190E-2	3.725E-1	4.149E-2	1.000E0	8.613E-1	9.280E-1	2.492E0	0.000E0	0.000E0	0.000E0	0.000E0
9	1.520E2	5.617E3	2.083E-2	2.083E-2	5.279E-1	3.543E-2	1.000E0	7.213E-1	8.493E-1	1.609E0	0.000E0	0.000E0	0.000E0	0.000E0
10	1.140E2	5.934E3	1.500E-2	1.500E-2	4.508E-1	2.814E-2	1.000E0	7.968E-1	8.926E-1	1.980E0	0.000E0	0.000E0	0.000E0	0.000E0
11	8.600E1	6.172E3	1.701E-2	1.701E-2	5.661E-1	2.673E-2	1.000E0	6.796E-1	8.244E-1	1.456E0	0.000E0	0.000E0	0.000E0	0.000E0
12	6.500E1	6.354E3	1.149E-2	1.149E-2	2.270E-1	2.376E-2	1.000E0	9.485E-1	9.739E-1	4.291E0	0.000E0	0.000E0	0.000E0	0.000E0
13	4.900E1	6.495E3	1.293E-2	1.293E-2	4.005E-1	2.063E-2	1.000E0	8.396E-1	9.163E-1	2.288E0	0.000E0	0.000E0	0.000E0	0.000E0
14	3.700E1	6.601E3	8.635E-3	8.635E-3	4.879E-1	1.318E-2	1.000E0	7.619E-1	8.729E-1	1.789E0	0.000E0	0.000E0	0.000E0	0.000E0
15	2.800E1	6.681E3	7.484E-3	7.484E-3	1.044E-2	1.257E-2	1.000E0	9.999E-1	9.999E-1	9.580E1	0.000E0	0.000E0	0.000E0	0.000E0
16	2.100E1	6.744E3	6.228E-3	6.228E-3	7.770E-2	1.216E-2	1.000E0	9.940E-1	9.970E-1	1.283E1	0.000E0	0.000E0	0.000E0	0.000E0
17	1.600E1	6.789E3	5.597E-3	5.597E-3	6.764E-2	9.427E-3	1.000E0	9.954E-1	9.977E-1	1.475E1	0.000E0	0.000E0	0.000E0	0.000E0
18	1.200E1	6.825E3	4.249E-3	4.249E-3	1.928E-2	8.938E-3	1.000E0	9.996E-1	9.998E-1	5.186E1	0.000E0	0.000E0	0.000E0	0.000E0
19	9.000E0	6.852E3	4.086E-3	4.086E-3	1.987E-1	7.005E-3	1.000E0	9.605E-1	9.801E-1	4.933E0	0.000E0	0.000E0	0.000E0	0.000E0
20	7.000E0	6.871E3	4.221E-3	4.221E-3	7.506E-2	8.005E-3	1.000E0	9.944E-1	9.972E-1	1.329E1	0.000E0	0.000E0	0.000E0	0.000E0
21	5.000E0	6.889E3	6.097E-3	6.097E-3	2.779E-1	8.419E-3	1.000E0	9.228E-1	9.606E-1	3.457E0	0.000E0	0.000E0	0.000E0	0.000E0
22	4.000E0	6.898E3	5.654E-3	5.654E-3	1.578E-1	8.553E-3	1.000E0	9.751E-1	9.875E-1	6.258E0	0.000E0	0.000E0	0.000E0	0.000E0
23	3.000E0	6.907E3	4.054E-3	4.054E-3	7.870E-2	6.660E-3	1.000E0	9.938E-1	9.969E-1	1.267E1	0.000E0	0.000E0	0.000E0	0.000E0
24	2.000E0	6.916E3	3.470E-3	3.470E-3	1.356E-1	5.495E-3	1.000E0	9.816E-1	9.908E-1	7.306E0	0.000E0	0.000E0	0.000E0	0.000E0
25	1.000E0	6.925E3	3.610E-3	3.610E-3	6.061E-2	5.921E-3	1.000E0	9.963E-1	9.982E-1	1.647E1	0.000E0	0.000E0	0.000E0	0.000E0
