 	d	pon	mean_ratio_NN	mean_ratio	mean_weighted_ratio	mean abs ratio	mean weighted abs ratio	variance of mean_weighted_ratio	SD mean_weighted_ratio	rSD mean_weighted_ratio	variance of weighted abs ratio	SD of weighted abs ratio	rSD of weighted abs ratio	SE of weighted abs ratio
1	1.520E3	3.000E0	-9.983E-1	1.027E-3	1.027E-3	1.027E-3	1.027E-3	0.000E0	0.000E0	0.000E0	0.000E0	0.000E0	0.000E0	0.000E0
2	1.140E3	4.360E2	-9.984E-1	-4.361E-2	-1.643E-2	1.023E-1	8.473E-2	1.327E-2	1.152E-1	-7.013E0	6.366E-3	7.979E-2	9.417E-1	3.283E-3
3	8.550E2	1.330E3	-9.988E-1	-2.172E-1	-1.099E-1	2.758E-1	2.114E-1	5.845E-2	2.418E-1	-2.200E0	2.581E-2	1.607E-1	7.599E-1	4.135E-3
4	6.410E2	2.321E3	-9.989E-1	-3.039E-1	-1.127E-1	3.807E-1	3.015E-1	1.111E-1	3.333E-1	-2.956E0	3.289E-2	1.813E-1	6.016E-1	3.783E-3
5	4.810E2	3.242E3	-9.573E-1	-3.084E-1	-5.372E-2	3.990E-1	3.286E-1	1.380E-1	3.715E-1	-6.916E0	3.289E-2	1.814E-1	5.519E-1	3.223E-3
6	3.610E2	4.033E3	-8.991E-1	-3.188E-1	-1.531E-2	4.031E-1	3.507E-1	1.603E-1	4.004E-1	-2.616E1	3.758E-2	1.939E-1	5.528E-1	3.536E-3
7	2.710E2	4.683E3	-8.099E-1	-2.873E-1	9.393E-3	3.609E-1	3.502E-1	1.669E-1	4.085E-1	4.349E1	4.437E-2	2.106E-1	6.015E-1	4.286E-3
8	2.030E2	5.206E3	-6.905E-1	-2.267E-1	7.994E-3	2.955E-1	3.543E-1	1.774E-1	4.212E-1	5.269E1	5.195E-2	2.279E-1	6.433E-1	5.307E-3
9	1.520E2	5.617E3	-5.617E-1	-1.794E-1	6.495E-3	2.397E-1	3.709E-1	1.912E-1	4.372E-1	6.732E1	5.364E-2	2.316E-1	6.245E-1	6.182E-3
10	1.140E2	5.934E3	-4.832E-1	-1.543E-1	7.817E-3	2.097E-1	3.853E-1	2.058E-1	4.536E-1	5.803E1	5.738E-2	2.395E-1	6.217E-1	7.166E-3
11	8.600E1	6.172E3	-4.239E-1	-1.287E-1	2.401E-2	1.814E-1	3.916E-1	2.136E-1	4.621E-1	1.925E1	6.077E-2	2.465E-1	6.295E-1	8.001E-3
12	6.500E1	6.354E3	-3.618E-1	-1.105E-1	-8.912E-3	1.546E-1	4.025E-1	2.257E-1	4.751E-1	-5.331E1	6.382E-2	2.526E-1	6.276E-1	8.530E-3
13	4.900E1	6.495E3	-3.378E-1	-9.981E-2	-5.649E-3	1.435E-1	4.177E-1	2.423E-1	4.922E-1	-8.714E1	6.787E-2	2.605E-1	6.237E-1	9.423E-3
14	3.700E1	6.601E3	-3.042E-1	-8.998E-2	-2.425E-2	1.305E-1	4.137E-1	2.363E-1	4.861E-1	-2.005E1	6.575E-2	2.564E-1	6.198E-1	9.306E-3
15	2.800E1	6.681E3	-2.819E-1	-8.128E-2	-2.650E-3	1.223E-1	4.186E-1	2.403E-1	4.902E-1	-1.850E2	6.508E-2	2.551E-1	6.094E-1	9.875E-3
16	2.100E1	6.744E3	-2.692E-1	-7.521E-2	-4.248E-3	1.144E-1	4.103E-1	2.368E-1	4.866E-1	-1.145E2	6.842E-2	2.616E-1	6.375E-1	1.047E-2
17	1.600E1	6.789E3	-2.521E-1	-7.161E-2	-7.938E-3	1.100E-1	4.089E-1	2.307E-1	4.803E-1	-6.050E1	6.358E-2	2.521E-1	6.167E-1	1.039E-2
18	1.200E1	6.825E3	-2.467E-1	-7.102E-2	-1.280E-2	1.073E-1	4.231E-1	2.485E-1	4.985E-1	-3.895E1	6.971E-2	2.640E-1	6.241E-1	1.067E-2
19	9.000E0	6.852E3	-2.330E-1	-6.528E-2	-8.224E-3	9.929E-2	4.208E-1	2.439E-1	4.938E-1	-6.005E1	6.691E-2	2.587E-1	6.147E-1	1.094E-2
20	7.000E0	6.871E3	-2.325E-1	-6.158E-2	6.844E-3	9.932E-2	4.242E-1	2.467E-1	4.967E-1	7.257E1	6.674E-2	2.583E-1	6.089E-1	1.094E-2
21	5.000E0	6.889E3	-2.293E-1	-6.005E-2	4.028E-2	9.811E-2	4.133E-1	2.365E-1	4.863E-1	1.207E1	6.725E-2	2.593E-1	6.274E-1	1.147E-2
22	4.000E0	6.898E3	-2.229E-1	-5.814E-2	9.666E-3	9.557E-2	4.160E-1	2.374E-1	4.873E-1	5.041E1	6.442E-2	2.538E-1	6.101E-1	1.087E-2
23	3.000E0	6.907E3	-2.210E-1	-5.888E-2	-2.497E-2	9.362E-2	4.145E-1	2.378E-1	4.876E-1	-1.953E1	6.657E-2	2.580E-1	6.224E-1	1.128E-2
24	2.000E0	6.916E3	-2.124E-1	-6.074E-2	-9.857E-3	9.354E-2	4.170E-1	2.428E-1	4.928E-1	-4.999E1	6.904E-2	2.628E-1	6.301E-1	1.133E-2
25	1.000E0	6.925E3	-1.977E-1	-5.442E-2	-1.420E-2	8.460E-2	4.133E-1	2.357E-1	4.855E-1	-3.419E1	6.514E-2	2.552E-1	6.176E-1	1.175E-2
