 	d of FOV	n of FOV	segregation level in your image (Sd^)	standard error of (Sd^)	segregation level in min seg image (Sd^min)	standard error of (Sd^min)	segregation level in max seg image (Sd^max)	standard error of (Sd^max)	multiscale spatial segergation level(MSSL)	standard eror of MSSL	multiscale spatial segergation distance (MSSD)[pix]	standard eror of MSSD	relative multiscale spatial segergation level (rMSSL-your image)	standard eror of rMSSL
1	1.520E3	3.000E0	1.027E-3	0.000E0	0.000E0	0.000E0	5.042E-2	4.907E-18	your image:	your image:	your image:	your image:	2.530E-1	5.027E-2
2	1.140E3	4.360E2	8.473E-2	3.283E-3	8.818E-18	1.193E-18	1.000E0	0.000E0	2.229E-1	3.551E-2	3.386E2	5.394E1	 	 
3	8.550E2	1.330E3	2.114E-1	4.135E-3	1.790E-17	1.096E-18	1.000E0	0.000E0	max image:	max image:	max image:	max image:	 	 
4	6.410E2	2.321E3	3.015E-1	3.783E-3	1.462E-17	7.093E-19	1.000E0	0.000E0	8.812E-1	1.188E-1	1.339E3	1.804E2	 	 
5	4.810E2	3.242E3	3.286E-1	3.223E-3	8.287E-18	5.194E-19	1.000E0	0.000E0	min image:	min image:	min image:	min image:	 	 
6	3.610E2	4.033E3	3.507E-1	3.536E-3	3.768E-19	1.127E-19	1.000E0	0.000E0	1.044E-17	3.922E-18	1.586E-14	5.958E-15	 	 
7	2.710E2	4.683E3	3.502E-1	4.286E-3	1.296E-17	7.111E-19	1.000E0	0.000E0	 	 	 	 	 	 
8	2.030E2	5.206E3	3.543E-1	5.307E-3	1.932E-17	8.571E-19	1.000E0	0.000E0	 	 	 	 	 	 
9	1.520E2	5.617E3	3.709E-1	6.182E-3	2.108E-17	8.527E-19	1.000E0	0.000E0	 	 	 	 	 	 
10	1.140E2	5.934E3	3.853E-1	7.166E-3	1.680E-17	7.559E-19	1.000E0	0.000E0	 	 	 	 	 	 
11	8.600E1	6.172E3	3.916E-1	8.001E-3	4.297E-18	3.718E-19	1.000E0	0.000E0	 	 	 	 	 	 
12	6.500E1	6.354E3	4.025E-1	8.530E-3	5.605E-18	5.703E-19	1.000E0	0.000E0	 	 	 	 	 	 
13	4.900E1	6.495E3	4.177E-1	9.423E-3	1.737E-17	8.791E-19	1.000E0	0.000E0	 	 	 	 	 	 
14	3.700E1	6.601E3	4.137E-1	9.306E-3	2.254E-17	1.008E-18	1.000E0	0.000E0	 	 	 	 	 	 
15	2.800E1	6.681E3	4.186E-1	9.875E-3	1.421E-17	7.249E-19	1.000E0	0.000E0	 	 	 	 	 	 
16	2.100E1	6.744E3	4.103E-1	1.047E-2	4.282E-18	3.995E-19	1.000E0	0.000E0	 	 	 	 	 	 
17	1.600E1	6.789E3	4.089E-1	1.039E-2	0.000E0	0.000E0	1.000E0	0.000E0	 	 	 	 	 	 
18	1.200E1	6.825E3	4.231E-1	1.067E-2	0.000E0	0.000E0	1.000E0	0.000E0	 	 	 	 	 	 
19	9.000E0	6.852E3	4.208E-1	1.094E-2	7.377E-18	5.975E-19	1.000E0	0.000E0	 	 	 	 	 	 
20	7.000E0	6.871E3	4.242E-1	1.094E-2	4.991E-18	4.626E-19	1.000E0	0.000E0	 	 	 	 	 	 
21	5.000E0	6.889E3	4.133E-1	1.147E-2	5.926E-18	4.951E-19	1.000E0	0.000E0	 	 	 	 	 	 
22	4.000E0	6.898E3	4.160E-1	1.087E-2	0.000E0	0.000E0	1.000E0	0.000E0	 	 	 	 	 	 
23	3.000E0	6.907E3	4.145E-1	1.128E-2	0.000E0	0.000E0	1.000E0	0.000E0	 	 	 	 	 	 
24	2.000E0	6.916E3	4.170E-1	1.133E-2	0.000E0	0.000E0	1.000E0	0.000E0	 	 	 	 	 	 
25	1.000E0	6.925E3	4.133E-1	1.175E-2	0.000E0	0.000E0	1.000E0	0.000E0	 	 	 	 	 	 
